,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
491,492,8,3,79.0,9490,1,0,3,3,0,4,0,12,0,2,0,0,6,6,1941,1950,1,1,13,14,3,0.0,3,4,1,4,4,4,2,403,5,29,238,806,1,4,1,1,958,620,0,1578,1,0,1,0,3,1,1,5,6,2,TA,2,1941.0,Unf,1,240,5,5,2,0,0,32,0,0,0,,3,0,0,8,2006,8,4,133000
346,347,4,3,69.0,12772,1,0,0,3,0,1,0,12,2,2,0,2,6,7,1960,1998,3,1,8,8,3,0.0,3,2,1,4,4,3,2,498,6,0,460,958,1,4,1,5,958,0,0,958,0,0,1,0,2,1,3,5,6,0,,2,1960.0,RFn,1,301,5,5,2,0,0,0,0,0,0,,0,1,15500,4,2007,8,4,151500
1140,1141,4,3,60.0,7350,1,0,3,3,0,0,0,12,2,2,0,2,5,6,1951,1951,1,1,6,6,3,0.0,3,4,1,4,4,3,1,852,6,0,100,952,1,4,1,5,952,0,0,952,1,0,1,0,2,1,3,4,6,0,,6,1988.0,Unf,2,840,5,5,2,0,0,0,0,0,0,,0,0,0,6,2008,0,0,139000
92,93,5,3,80.0,13360,1,1,0,1,0,4,0,6,2,2,0,2,5,6,1921,2006,1,1,13,14,3,0.0,3,2,0,3,4,4,1,713,6,0,163,876,1,0,1,5,964,0,0,964,1,0,1,0,2,1,3,5,6,0,,6,1921.0,Unf,2,432,5,5,2,0,0,44,0,0,0,,0,0,0,8,2009,8,4,163500
517,518,9,3,79.0,10208,1,0,0,3,0,4,0,15,2,2,0,5,7,4,1996,1997,1,1,12,13,2,921.0,2,4,2,3,4,4,6,0,6,0,1264,1264,1,0,1,5,1277,1067,0,2344,0,0,2,1,3,1,2,7,6,1,TA,2,1996.0,RFn,3,889,5,5,2,220,0,0,0,0,0,,0,0,0,7,2009,8,4,265000
1190,1191,3,3,69.0,32463,1,0,3,2,0,4,1,11,2,2,1,2,4,3,1961,1975,1,1,8,8,4,149.0,3,2,1,4,4,1,2,1159,6,0,90,1249,1,0,1,5,1622,0,0,1622,1,0,1,0,3,1,3,7,6,1,TA,1,1975.0,Fin,4,1356,5,5,2,439,0,0,0,0,0,,0,0,0,3,2007,8,4,168000
395,396,4,3,68.0,9571,1,0,3,3,0,4,0,7,2,2,0,2,5,5,1956,1956,1,1,13,14,3,0.0,3,4,1,4,4,1,2,739,6,0,405,1144,1,4,1,5,1144,0,0,1144,1,0,1,0,3,1,3,6,6,0,,2,1956.0,Unf,1,596,5,5,2,44,0,0,0,0,0,,0,0,0,6,2010,8,4,129000
465,466,0,4,69.0,3072,1,0,3,3,0,4,0,0,2,2,4,2,7,4,2004,2004,3,1,12,13,2,18.0,2,4,2,3,4,4,6,0,6,0,1375,1375,1,0,1,5,1414,0,0,1414,0,0,2,0,2,1,2,6,6,1,TA,2,2004.0,Fin,2,398,5,5,2,144,20,0,0,0,0,,0,0,0,5,2006,8,4,178740
539,540,4,3,69.0,11423,1,0,3,3,0,4,0,5,2,2,0,2,8,4,2001,2002,1,1,12,13,2,479.0,2,4,2,3,4,1,3,1358,6,0,223,1581,1,0,1,5,1601,0,0,1601,1,0,2,0,3,1,2,6,6,1,TA,2,2001.0,RFn,2,670,5,5,2,180,0,0,0,0,0,,3,3,2000,5,2010,8,4,272000
528,529,5,3,58.0,9098,1,0,0,3,0,4,0,7,2,2,0,2,4,6,1920,2002,1,1,13,14,3,0.0,3,4,0,4,4,3,1,348,6,0,180,528,1,0,1,5,605,0,0,605,1,0,1,0,2,1,3,5,6,0,,0,,,0,0,0,0,0,0,0,144,0,0,0,,0,0,0,7,2007,8,4,86000
1328,1329,8,4,60.0,10440,1,1,3,3,0,0,0,17,2,2,0,0,6,6,1920,1950,1,1,3,14,3,0.0,2,2,0,3,4,4,4,493,6,0,1017,1510,2,0,1,5,1584,1208,0,2792,0,0,2,0,5,1,3,8,4,2,TA,6,1920.0,Unf,2,520,2,5,2,0,547,0,0,480,0,,3,3,1150,6,2008,8,4,256000
232,233,1,4,21.0,1680,1,0,3,3,0,4,0,2,2,2,3,5,6,4,1972,1972,1,1,6,6,2,297.0,3,4,1,4,4,4,6,0,6,0,483,483,1,4,1,5,483,504,0,987,0,0,1,1,2,1,3,5,6,1,Po,2,1972.0,Unf,1,288,5,5,2,0,0,0,0,0,0,,0,0,0,6,2006,8,4,94500
1021,1022,4,3,64.0,7406,1,0,3,3,0,4,0,5,2,2,0,2,7,4,2006,2006,1,1,12,13,4,84.0,2,4,2,3,4,1,3,684,6,0,515,1199,1,0,1,5,1220,0,0,1220,1,0,2,0,2,1,2,6,6,0,,2,2006.0,RFn,2,632,5,5,2,105,54,0,0,0,0,,0,0,0,7,2006,6,5,194000
203,204,0,4,69.0,4438,1,0,3,3,0,4,0,5,2,2,4,2,6,4,2004,2004,1,1,12,13,2,205.0,2,4,2,3,4,1,3,662,6,0,186,848,1,0,1,5,848,0,0,848,1,0,1,0,1,1,2,3,6,1,Gd,2,2004.0,RFn,2,420,5,5,2,149,0,0,0,0,0,,0,0,0,1,2008,8,4,149000
865,866,4,3,69.0,8750,1,0,0,3,0,4,0,12,2,2,0,2,5,5,1970,1970,1,1,8,8,2,76.0,3,4,1,4,4,4,2,828,6,0,174,1002,1,4,1,5,1002,0,0,1002,1,0,1,0,3,1,3,5,6,0,,6,1973.0,Unf,2,902,5,5,2,0,0,0,0,0,0,,3,0,0,8,2009,8,4,148500
1043,1044,9,3,86.0,11839,1,0,3,3,0,4,0,20,2,2,0,5,7,4,1990,1990,3,1,6,6,2,99.0,3,4,2,3,4,4,3,1085,6,0,390,1475,1,0,1,5,1532,797,0,2329,1,0,2,1,4,1,2,10,6,1,Ex,2,1990.0,Unf,2,514,5,5,2,192,121,0,0,0,0,,0,0,0,5,2008,8,4,262280
199,200,4,3,76.0,9591,1,0,3,3,0,4,0,16,2,2,0,2,8,4,2004,2005,3,1,12,13,2,262.0,2,4,2,1,4,1,3,1088,6,0,625,1713,1,0,1,5,1713,0,0,1713,1,0,2,0,3,1,0,7,6,1,Gd,2,2004.0,Fin,3,856,5,5,2,0,26,0,0,170,0,,0,0,0,1,2009,8,4,274900
83,84,4,3,80.0,8892,1,0,0,3,0,4,0,12,2,2,0,2,5,4,1960,1960,1,1,8,8,1,66.0,3,4,1,4,4,4,6,0,6,0,1065,1065,1,2,1,5,1065,0,0,1065,0,0,1,1,3,1,3,6,6,0,,6,1974.0,Unf,2,461,5,5,2,74,0,0,0,0,0,,0,0,0,7,2007,0,4,126500
113,114,4,3,69.0,21000,1,0,3,0,0,0,0,6,2,2,0,2,6,4,1953,1953,3,1,13,14,2,184.0,3,2,1,3,4,3,1,35,5,138,905,1809,1,4,1,5,2259,0,0,2259,1,0,2,0,3,1,2,7,6,2,Gd,3,1953.0,Unf,2,450,5,5,2,166,120,192,0,0,0,,3,0,0,10,2007,0,0,217000
636,637,5,4,51.0,6120,1,0,3,3,0,4,0,3,2,2,0,2,2,2,1936,1950,1,1,0,0,3,0.0,1,1,0,4,1,4,6,0,6,0,264,264,3,1,0,1,800,0,0,800,0,0,1,0,1,1,1,4,0,1,Po,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,2009,5,4,60000
632,633,4,3,85.0,11900,1,0,3,3,0,4,0,14,2,2,0,2,7,4,1977,1977,3,1,9,10,2,209.0,3,2,1,4,4,4,1,822,6,0,564,1386,1,4,1,5,1411,0,0,1411,0,0,2,0,3,1,3,6,6,1,TA,2,1977.0,Fin,2,544,5,5,2,192,0,0,0,0,0,,0,0,0,4,2009,8,3,82500
991,992,10,4,121.0,17671,1,1,3,3,0,0,0,17,0,2,0,5,8,8,1882,1986,1,1,13,14,3,0.0,2,2,0,4,4,4,2,216,6,0,700,916,1,2,1,5,916,826,0,1742,0,0,1,1,4,1,2,8,6,1,Gd,2,1925.0,Unf,2,424,5,5,1,0,169,0,0,0,0,,0,0,0,11,2009,8,4,168000
1184,1185,4,3,50.0,35133,0,0,3,3,0,4,1,23,2,2,0,2,5,3,1963,1963,3,1,8,8,2,226.0,3,4,1,4,4,2,5,1159,6,0,413,1572,1,2,1,5,1572,0,0,1572,1,0,1,1,3,1,3,5,6,2,TA,1,1963.0,RFn,3,995,5,5,2,0,263,0,0,263,0,,0,0,0,5,2007,8,4,186700
777,778,4,3,100.0,13350,1,0,0,3,0,4,0,19,2,2,0,2,5,4,1974,1974,3,1,6,10,3,0.0,3,4,1,4,4,4,1,762,6,0,102,864,1,4,1,5,894,0,0,894,1,0,1,0,3,1,3,5,6,1,Fa,2,1974.0,Unf,2,440,5,5,2,241,0,0,0,0,0,,3,0,0,6,2006,8,4,142500
940,941,14,3,55.0,12640,1,0,0,3,0,4,0,11,2,2,2,2,6,4,1976,1976,1,1,9,10,3,0.0,3,4,1,4,4,2,5,936,4,78,396,1728,1,4,1,5,1728,0,0,1728,0,0,2,0,4,2,3,8,6,0,,2,1976.0,Unf,2,574,5,5,2,40,0,0,0,0,0,,0,0,0,7,2006,8,4,150900
1226,1227,9,3,86.0,14598,1,0,0,3,0,1,0,21,1,2,0,5,6,4,2007,2007,1,1,12,13,4,74.0,2,4,2,3,4,3,6,0,6,0,894,894,1,0,1,5,894,1039,0,1933,0,0,2,1,4,1,2,9,6,1,Gd,4,2007.0,Fin,3,668,5,5,2,100,18,0,0,0,0,,0,0,0,1,2008,8,4,214000
1227,1228,4,3,72.0,8872,1,0,3,3,0,0,0,12,2,2,0,2,5,7,1965,2008,1,1,12,13,2,300.0,3,4,1,4,4,4,1,595,6,0,317,912,1,0,1,5,912,0,0,912,1,0,1,0,2,1,2,5,6,0,,6,1992.0,Unf,2,576,5,5,2,0,240,0,0,0,0,,0,0,0,12,2008,8,4,147000
1457,1458,10,3,66.0,9042,1,0,3,3,0,4,0,6,2,2,0,5,7,8,1941,2006,1,1,5,5,3,0.0,0,2,4,4,2,4,3,275,6,0,877,1152,1,0,1,5,1188,1152,0,2340,0,0,2,0,4,1,2,9,6,2,Gd,2,1941.0,RFn,1,252,5,5,2,0,60,0,0,0,0,,1,3,2500,5,2010,8,4,266500
921,922,14,3,67.0,8777,1,0,3,3,0,4,0,7,1,2,2,0,5,6,1900,2003,1,1,8,8,3,0.0,3,4,1,4,4,4,1,1084,6,0,188,1272,1,2,1,5,1272,928,0,2200,2,0,2,2,4,2,3,9,6,0,,0,,,0,0,0,0,0,0,70,0,0,0,0,,1,0,0,9,2008,8,4,145900
28,29,4,3,47.0,16321,1,0,0,3,0,1,0,12,2,2,0,2,5,5,1957,1997,1,1,8,8,3,0.0,3,4,1,4,4,2,2,1277,6,0,207,1484,1,4,1,5,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,Gd,2,1957.0,RFn,1,319,5,5,2,288,258,0,0,0,0,,0,0,0,12,2006,8,4,207500
552,553,4,3,87.0,11146,1,0,0,3,0,4,0,16,2,2,0,2,8,4,2006,2006,1,1,12,13,4,250.0,2,4,2,1,4,1,6,0,6,0,1709,1709,1,0,1,5,1717,0,0,1717,0,0,2,0,3,1,2,7,6,1,Gd,2,2006.0,RFn,3,908,5,5,2,169,39,0,0,0,0,,0,0,0,7,2009,8,4,255500
190,191,10,3,70.0,10570,1,0,3,0,0,4,1,6,2,2,0,5,8,7,1932,1994,3,1,3,3,3,0.0,2,4,1,3,2,4,5,297,6,0,556,853,1,4,1,5,1549,1178,0,2727,0,0,2,1,3,1,2,10,0,2,TA,6,1932.0,Unf,2,440,5,5,2,0,74,0,0,0,0,,0,0,0,12,2007,8,4,315000
775,776,0,4,32.0,4500,1,0,3,3,0,2,0,11,2,2,4,2,6,4,1998,1998,3,1,12,13,2,320.0,3,4,2,1,4,4,3,866,6,0,338,1204,1,0,1,5,1204,0,0,1204,1,0,2,0,2,1,3,5,6,0,,2,1998.0,Fin,2,412,5,5,2,0,247,0,0,0,0,,0,0,0,6,2009,8,4,162000
354,355,8,3,60.0,8400,1,0,3,0,0,4,0,18,2,2,0,0,6,4,1940,2000,1,1,13,8,3,0.0,3,4,1,4,4,4,4,388,6,0,552,940,1,0,1,5,1192,403,0,1595,0,0,1,0,2,1,3,6,6,2,Gd,2,1940.0,Unf,1,240,5,5,2,0,0,108,0,0,0,,0,0,0,6,2006,8,4,140000
936,937,4,3,67.0,10083,1,0,3,3,0,4,0,20,2,2,0,2,7,4,2003,2003,1,1,12,13,0,0.0,2,4,2,3,4,4,3,833,6,0,343,1176,1,0,1,5,1200,0,0,1200,1,0,2,0,2,1,2,5,6,0,,2,2003.0,RFn,2,555,5,5,2,0,41,0,0,0,0,,0,0,0,8,2009,8,4,184900
657,658,10,3,60.0,7200,1,0,3,1,0,4,1,6,2,2,0,5,7,5,1931,2000,1,1,11,15,3,0.0,3,1,0,3,4,4,6,0,6,0,776,776,1,4,1,5,851,651,0,1502,0,0,1,1,3,1,3,6,6,1,Gd,2,1931.0,RFn,1,270,5,5,1,0,0,112,0,0,0,,3,0,0,2,2008,8,4,149000
180,181,1,1,69.0,2117,1,0,3,3,0,4,0,21,2,2,3,5,6,4,2000,2000,1,1,8,8,2,456.0,2,4,2,3,4,4,3,436,6,0,320,756,1,0,1,5,769,756,0,1525,0,0,2,1,3,1,2,5,6,1,TA,6,2000.0,Unf,2,440,5,5,2,0,0,0,0,0,0,,0,0,0,6,2007,8,4,177000
764,765,0,3,30.0,9549,1,0,0,3,0,1,0,24,2,2,4,2,8,4,1995,1996,3,1,3,3,3,0.0,2,2,2,3,2,1,4,437,3,4,0,1494,1,0,1,5,1494,0,0,1494,1,0,1,1,2,1,0,6,6,1,Gd,2,1995.0,Fin,2,481,5,5,2,0,30,0,0,216,0,,0,0,0,4,2006,8,4,270000
1071,1072,9,3,78.0,11700,1,0,3,3,0,4,0,14,6,2,0,5,6,5,1968,1968,1,1,8,8,3,0.0,3,4,1,4,4,4,5,298,6,0,429,727,1,0,1,5,829,727,0,1556,0,0,1,1,4,1,3,8,6,0,,2,1968.0,Unf,2,441,5,5,2,0,0,0,0,0,0,,0,0,0,5,2009,8,4,154000
163,164,7,3,55.0,5500,1,0,3,3,0,4,0,17,2,2,0,1,4,5,1956,1956,1,1,8,8,3,0.0,3,4,1,4,4,4,6,0,6,0,882,882,1,0,1,5,882,0,0,882,0,0,1,0,1,1,3,4,6,0,,0,,,0,0,0,0,2,0,0,0,0,0,0,,3,0,0,4,2007,8,4,103200
609,610,4,3,61.0,7943,1,0,3,3,0,4,0,19,1,2,0,2,4,4,1961,1961,1,1,12,13,1,192.0,3,1,1,4,4,3,5,903,6,0,126,1029,1,2,1,5,1029,0,0,1029,1,0,1,0,3,1,3,5,6,0,,2,1961.0,Unf,1,261,5,5,2,64,0,39,0,0,0,,0,0,0,4,2007,8,4,118500
847,848,4,3,36.0,15523,1,0,0,3,0,1,0,5,2,2,0,2,5,5,1972,1972,1,1,6,10,3,0.0,3,4,1,4,4,1,2,460,6,0,404,864,1,0,1,5,864,0,0,864,1,0,1,0,3,1,3,5,6,1,Fa,2,1972.0,Unf,1,338,5,5,2,0,0,0,0,0,0,,0,0,0,8,2009,8,4,133500
951,952,4,2,60.0,7800,1,0,3,3,0,0,0,20,2,2,0,2,5,4,1965,1965,1,1,12,13,3,0.0,3,4,1,4,4,4,2,641,6,0,187,828,1,2,1,5,965,0,0,965,1,0,1,0,3,1,3,6,6,0,,6,1979.0,Unf,1,300,5,5,2,421,0,0,0,0,0,,3,0,0,7,2006,8,0,119900
1346,1347,4,3,69.0,20781,1,0,1,3,0,1,0,14,4,2,0,2,7,6,1968,2003,3,1,3,6,3,0.0,3,4,1,4,4,4,2,297,5,123,1203,1568,1,4,1,5,2156,0,0,2156,0,0,2,0,3,1,3,9,6,1,Gd,2,1968.0,RFn,2,508,3,5,2,0,80,0,290,0,0,,0,0,0,6,2006,8,4,262500
176,177,9,3,97.0,10029,1,0,0,3,0,0,0,4,2,2,0,5,6,4,1988,1989,1,1,9,10,2,268.0,2,4,2,3,4,4,3,831,6,0,320,1151,1,4,1,5,1164,896,0,2060,0,1,2,1,4,1,3,8,6,1,TA,2,1988.0,Unf,2,521,5,5,2,0,228,0,0,192,0,,0,0,0,9,2007,8,4,211000
876,877,4,3,94.0,25286,1,0,3,1,0,4,1,11,2,2,0,2,4,4,1963,1963,1,1,6,10,3,0.0,3,4,2,4,4,2,1,633,6,0,431,1064,1,2,1,5,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,,2,1963.0,Unf,2,648,5,5,2,0,0,0,0,0,0,,0,0,0,1,2007,8,4,132250
417,418,10,3,86.0,22420,1,0,0,3,0,4,0,6,1,2,0,5,6,5,1918,1950,3,1,13,12,3,0.0,3,4,0,3,4,4,2,1128,6,0,242,1370,2,4,0,1,1370,1254,0,2624,1,0,2,1,4,1,3,10,6,1,Gd,6,1918.0,Unf,3,864,5,5,0,0,0,0,0,0,0,,0,0,0,11,2007,8,4,239000
196,197,4,3,79.0,9416,1,0,3,3,0,4,0,21,2,2,0,2,7,4,2007,2007,3,1,5,5,4,205.0,0,4,2,1,4,4,3,1126,6,0,600,1726,1,0,1,5,1726,0,0,1726,1,0,2,0,3,1,0,8,6,1,Gd,2,2007.0,Fin,3,786,5,5,2,171,138,0,0,266,0,,0,0,0,9,2007,6,5,311872
1096,1097,10,4,60.0,6882,1,0,3,3,0,4,0,9,2,2,0,5,6,6,1914,2006,1,1,13,14,3,0.0,3,4,2,4,4,4,6,0,6,0,684,684,1,4,1,5,773,582,0,1355,0,0,1,1,3,1,2,7,6,0,,0,,,0,0,0,0,2,136,0,115,0,0,0,,0,0,0,3,2007,8,4,127000
45,46,0,3,61.0,7658,1,0,3,3,0,4,0,16,2,2,4,2,9,4,2005,2005,3,1,8,8,2,412.0,0,4,2,1,4,4,3,456,6,0,1296,1752,1,0,1,5,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,Gd,2,2005.0,RFn,2,576,5,5,2,196,82,0,0,0,0,,0,0,0,2,2010,8,4,319900
1078,1079,0,4,37.0,4435,1,0,3,3,0,4,0,5,2,2,4,2,6,4,2004,2004,1,1,12,13,2,169.0,2,4,2,3,4,3,3,662,6,0,186,848,1,0,1,5,848,0,0,848,1,0,1,0,1,1,2,3,6,1,Gd,2,2004.0,RFn,2,420,5,5,2,140,0,0,0,0,0,,0,0,0,5,2006,8,4,155900
723,724,8,3,60.0,8172,1,0,3,3,0,4,0,7,2,2,0,0,4,5,1954,1972,1,1,8,8,3,0.0,3,4,2,4,4,4,6,0,6,0,941,941,1,0,1,5,997,473,0,1470,0,0,2,0,4,1,3,7,6,0,,6,1958.0,Unf,1,548,5,5,2,0,0,0,0,156,0,,0,0,0,5,2008,8,4,135000
312,313,3,4,65.0,7800,1,0,3,3,0,4,0,17,0,2,1,0,5,6,1939,1950,1,1,8,8,3,0.0,3,4,1,3,4,3,5,507,6,0,286,793,1,4,1,5,793,325,0,1118,1,0,1,0,3,1,3,5,6,1,Gd,6,1939.0,Unf,2,410,5,5,2,0,0,0,0,271,0,,3,0,0,5,2006,8,4,119900
616,617,9,3,69.0,7861,1,0,0,3,0,4,0,8,2,2,0,5,6,4,2002,2003,1,1,12,13,3,0.0,2,4,2,3,4,4,3,457,6,0,326,783,1,0,1,5,807,702,0,1509,1,0,2,1,3,1,2,7,6,1,Gd,2,2002.0,Fin,2,393,5,5,2,100,75,0,0,0,0,,0,0,0,6,2006,8,4,183200
361,362,8,3,69.0,9144,1,2,3,3,0,4,0,3,2,2,0,0,5,4,1940,1982,1,1,8,8,3,0.0,3,4,1,4,4,4,5,399,6,0,484,883,1,2,1,5,988,517,0,1505,1,0,1,0,3,1,3,8,6,0,,6,1940.0,Unf,1,240,5,5,0,0,0,0,0,0,0,,0,0,0,7,2008,8,4,145000
470,471,0,3,69.0,6820,1,0,0,3,0,0,0,22,2,2,4,2,8,4,1985,1985,1,1,6,6,3,0.0,2,4,2,3,4,1,3,368,2,12,0,1488,1,4,1,5,1502,0,0,1502,1,0,1,1,1,1,2,4,6,0,,2,1985.0,RFn,2,528,5,5,2,0,54,0,0,140,0,,0,0,0,6,2010,8,4,212000
0,1,9,3,65.0,8450,1,0,3,3,0,4,0,5,2,2,0,5,7,4,2003,2003,1,1,12,13,2,196.0,2,4,2,3,4,4,3,706,6,0,150,856,1,0,1,5,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,,2,2003.0,RFn,2,548,5,5,2,0,61,0,0,0,0,,0,0,0,2,2008,8,4,208500
572,573,9,3,83.0,13159,1,0,0,1,0,0,0,23,2,2,0,5,7,4,2009,2009,1,1,12,13,3,0.0,3,4,2,1,4,1,6,0,6,0,846,846,1,2,1,5,846,846,0,1692,0,0,2,1,3,1,2,6,6,0,,2,2009.0,RFn,2,650,5,5,2,208,114,0,0,0,0,,0,0,0,7,2009,6,5,224500
635,636,3,2,60.0,10896,1,2,3,0,0,4,0,18,1,2,1,3,6,6,1914,1995,3,1,12,13,3,0.0,1,4,1,4,1,4,4,256,6,0,1184,1440,1,0,1,1,1440,1440,515,3395,0,0,2,0,8,2,1,14,6,0,,0,,,0,0,0,0,0,0,110,0,0,0,0,,0,0,0,3,2007,8,0,200000
828,829,9,3,69.0,28698,1,0,1,2,0,1,2,4,2,2,0,5,5,4,1967,1967,0,5,9,10,3,0.0,3,4,2,4,2,2,4,249,1,130,0,1013,1,4,1,5,1160,966,0,2126,0,1,2,1,3,1,3,7,3,0,,2,1967.0,Fin,2,538,5,5,2,486,0,0,0,225,0,,0,0,0,6,2009,8,0,185000
577,578,12,3,96.0,11777,1,0,0,3,0,4,0,19,2,2,0,7,5,5,1966,1966,1,1,12,13,2,97.0,3,4,1,4,4,1,4,328,1,107,285,1164,1,0,1,5,1320,0,0,1320,1,0,1,0,3,1,3,6,6,2,Fa,2,1966.0,RFn,2,564,5,5,2,160,68,240,0,0,0,,0,0,0,5,2006,8,0,164500
550,551,0,3,53.0,4043,1,0,3,3,0,4,0,13,2,2,4,2,6,5,1977,1977,1,1,9,10,3,0.0,3,4,1,3,4,4,1,559,6,0,510,1069,1,4,1,5,1069,0,0,1069,0,0,2,0,2,1,3,4,6,0,,2,1977.0,RFn,2,440,5,5,2,0,55,0,0,200,0,,0,0,0,10,2008,0,0,140000
848,849,8,3,75.0,45600,1,0,1,0,0,4,0,4,2,2,0,0,6,7,1908,1997,1,1,13,14,3,0.0,3,4,0,4,4,4,6,0,6,0,907,907,1,4,1,5,1307,1051,0,2358,0,0,3,0,5,1,3,10,6,1,Gd,6,1908.0,Unf,2,360,2,5,2,486,40,0,0,175,0,,0,0,0,9,2008,8,4,240000
1248,1249,11,4,60.0,9600,1,1,3,3,0,4,0,17,2,2,0,4,6,4,1917,1950,1,1,0,0,3,0.0,3,4,0,3,4,4,5,319,6,0,416,735,4,1,0,5,1134,924,0,2058,0,0,1,1,3,1,3,8,6,1,Gd,6,1950.0,Unf,2,396,2,2,1,0,0,259,0,0,0,,0,0,0,4,2008,8,4,129500
765,766,4,3,75.0,14587,1,0,0,3,0,4,0,21,2,2,0,2,9,4,2008,2008,1,1,12,13,4,284.0,2,4,2,3,4,4,6,0,6,0,1498,1498,1,0,1,5,1506,0,0,1506,0,0,2,0,2,1,0,6,6,1,Gd,2,2008.0,Fin,2,592,5,5,2,0,174,0,0,0,0,,0,0,0,8,2008,6,5,264132
126,127,0,3,69.0,4928,1,0,0,3,0,4,0,13,2,2,4,2,6,4,1976,1976,1,1,9,10,3,0.0,3,4,1,3,4,4,1,120,6,0,958,1078,1,4,1,5,958,0,0,958,0,0,2,0,2,1,3,5,6,1,TA,2,1977.0,RFn,2,440,5,5,2,0,205,0,0,0,0,,0,0,0,2,2007,8,4,128000
839,840,8,3,70.0,11767,1,0,3,3,0,4,0,7,2,2,0,0,5,5,1946,1995,1,1,8,8,3,0.0,3,4,1,4,4,4,2,352,6,0,416,768,1,0,1,5,768,432,0,1200,0,0,1,0,3,1,3,6,6,0,,6,1946.0,Unf,1,240,5,5,2,0,0,0,0,0,0,,0,0,0,5,2008,8,4,130500
250,251,5,3,55.0,5350,1,0,0,3,0,4,0,3,2,2,0,2,3,1,1940,1966,1,1,13,10,3,0.0,3,3,1,4,4,4,6,0,6,0,728,728,1,0,1,5,1306,0,0,1306,0,0,1,0,3,1,1,6,4,0,,0,,,0,0,0,0,2,263,0,0,0,0,0,,2,3,450,5,2010,8,4,76500
710,711,5,3,56.0,4130,1,0,0,3,0,4,0,3,2,2,0,2,3,5,1935,2003,1,1,12,13,3,0.0,2,4,1,4,4,4,6,0,6,0,270,270,1,2,1,5,729,0,0,729,0,0,1,0,2,1,3,5,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,7,2008,8,4,52000
31,32,4,3,69.0,8544,1,0,0,3,0,1,0,19,2,2,0,2,5,5,1966,2006,1,1,6,6,3,0.0,3,4,1,4,4,4,6,0,6,0,1228,1228,1,2,1,5,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,,2,1966.0,Unf,1,271,5,5,2,0,65,0,0,0,0,,3,0,0,6,2008,8,4,149350
442,443,8,4,52.0,6240,1,0,3,3,0,4,0,3,2,2,0,0,5,6,1930,1992,1,1,8,8,3,0.0,3,4,2,4,4,4,6,0,6,0,1078,1078,1,4,1,5,1128,445,0,1573,0,0,2,0,3,1,3,8,6,1,Gd,6,1930.0,Unf,2,360,5,5,1,0,0,0,0,0,0,,0,0,0,6,2008,8,4,162900
418,419,8,3,60.0,8160,1,0,3,3,0,4,0,7,2,2,0,0,5,5,1940,1950,1,1,8,8,3,0.0,3,4,0,4,4,4,1,312,6,0,444,756,1,1,0,2,756,378,0,1134,1,0,1,1,3,1,3,7,6,0,,6,1940.0,Unf,1,240,5,5,1,0,0,0,0,0,0,,0,0,0,4,2007,8,1,126000
152,153,9,3,69.0,14803,1,0,0,3,0,1,0,14,2,2,0,5,6,4,1971,1971,1,1,6,6,2,252.0,3,4,1,4,4,4,5,416,6,0,409,825,1,2,1,5,1097,896,0,1993,0,0,2,1,4,1,3,8,6,1,Gd,2,1971.0,RFn,2,495,5,5,2,0,66,0,0,0,0,,2,0,0,6,2006,8,4,190000
1177,1178,8,4,69.0,3950,1,1,3,0,0,4,0,17,0,2,0,0,6,7,1926,2004,1,1,8,8,3,0.0,3,4,1,4,4,4,5,468,6,0,350,818,1,4,1,5,818,406,0,1224,0,0,1,0,3,1,3,5,6,0,,6,1926.0,Unf,1,210,5,5,0,0,0,116,0,0,0,,0,0,0,12,2009,8,4,115000
